"date","receiver","sender","name","mcc","count"
"02.11.2016","GB","US","Charitable and Social Service Organizations","8398","1464"
"04.11.2016","UA","US","Stores and Shops","5200","48"
"06.12.2016","GB","TN","Charitable and Social Service Organizations","8398","30"
"07.12.2016","EE","RU","Telecommunication Services","4814","48"
"30.11.2016","UA","US","Tickets and Travel","7922","18"
"18.09.2016","GB","EE","Charitable and Social Service Organizations","8398","300"
"30.09.2016","GB","VU","Charitable and Social Service Organizations","8398","27"
"09.11.2016","GB","KZ","Computer Maintenance and Programming","7379","28"
"25.10.2016","UA","RU","Tickets and Travel","7922","4"
"21.09.2016","RU","ZA","Computer Maintenance and Programming","7379","27"
"13.09.2016","GB","PL","Charitable and Social Service Organizations","8398","12"
"02.11.2016","GB","CZ","Computer Maintenance and Programming","7379","7"
"30.11.2016","RU","IT","Dating","7273","11"
"31.10.2016","UA","MD","Tickets and Travel","7922","6"
"07.11.2016","UA","CA","Computer Maintenance and Programming","7379","18"
"24.09.2016","UA","IT","Tickets and Travel","7922","10"
"28.11.2016","UA","NL","Computer Maintenance and Programming","7379","3"
"29.11.2016","GB","UA","Computer Maintenance and Programming","7379","264"
"10.11.2016","UA","IT","Florists","5193","12"
"07.11.2016","GB","CR","Charitable and Social Service Organizations","8398","70"
"02.12.2016","GB","UA","Computer Maintenance and Programming","7379","682"
"24.11.2016","GB","AR","Charitable and Social Service Organizations","8398","275"
"04.10.2016","SK","BY","Stores and Shops","5200","33"
"17.10.2016","UA","PL","Tickets and Travel","7922","3"
"10.11.2016","GB","TR","Charitable and Social Service Organizations","8398","12"
"23.09.2016","UA","US","Taxicabs and Limousines","4121","3"
"19.11.2016","GB","KZ","Computer Maintenance and Programming","7379","36"
"14.09.2016","GB","RU","Computer Maintenance and Programming","7379","2520"
"08.11.2016","UA","NL","Florists","5193","3"
"23.10.2016","EE","LV","Telecommunication Services","4814","60"
"23.10.2016","GB","MY","Charitable and Social Service Organizations","8398","351"
"11.09.2016","LV","UA","Professional and Personal Services","8999","186"
"16.09.2016","UA","AZ","Taxicabs and Limousines","4121","7"
"16.11.2016","UA","US","Computer Maintenance and Programming","7379","8"
"16.11.2016","GB","BY","Charitable and Social Service Organizations","8398","6"
"21.09.2016","RU","SA","Computer Maintenance and Programming","7379","20"
"23.11.2016","GB","AR","Charitable and Social Service Organizations","8398","528"
"30.09.2016","GB","RU","Professional and Personal Services","8999","20"
"12.09.2016","RU","ES","Computer Maintenance and Programming","7379","24"
"18.10.2016","UA","US","Education","8299","22"
"26.09.2016","EE","AZ","Telecommunication Services","4814","18"
"28.09.2016","UA","BZ","Computer Maintenance and Programming","7379","11"
"20.09.2016","GB","NP","Charitable and Social Service Organizations","8398","42"
"05.10.2016","UA","US","Computer Maintenance and Programming","7379","72"
"05.10.2016","GB","BY","Charitable and Social Service Organizations","8398","3"
"10.11.2016","GB","QA","Charitable and Social Service Organizations","8398","15"
"29.09.2016","UA","MD","Computer Maintenance and Programming","7379","8"
"05.11.2016","GB","KZ","Charitable and Social Service Organizations","8398","70"
"17.09.2016","UA","LV","Computer Maintenance and Programming","7379","10"
"03.10.2016","RU","US","Stores and Shops","5200","10"
"20.09.2016","UA","PL","Computer Maintenance and Programming","7379","22"
